X,Y,Z,标注类别名称,预测类别,图像路径
173.33884,-47.266037,-289.66107,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_1159.png
174.0107,15.360777,-186.58983,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_1210.png
187.65181,-36.62426,-230.31567,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_1264.png
230.9141,-13.278546,-230.37857,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_1283.png
176.60991,30.082409,-249.28201,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_1334.png
124.22437,42.360706,-244.30934,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_1352.png
98.29526,23.819408,-293.92566,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_1380.png
187.53627,9.439752,-303.9197,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_1403.png
148.30933,49.71926,-303.18814,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_1405.png
135.92996,-10.002301,-322.5975,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_1417.png
133.07277,-13.458144,-264.27988,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_1419.png
-234.21387,-383.7927,-136.45369,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_1476.png
-75.69423,23.08461,-170.08838,cow_1,cow_27,./dataset/test-41-different/all\cow_1\cow_1_1550.png
-105.877426,69.38344,-321.1426,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_2403.png
-95.83503,112.16653,-315.51248,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_2425.png
-199.6352,-291.59338,-150.3119,cow_1,cow_1,./dataset/test-41-different/all\cow_1\cow_1_2643.png
411.61566,-96.2759,11.821221,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_102.png
384.16257,-58.111877,21.376406,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_11.png
-205.6958,-348.2056,-193.28305,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_1119.png
428.64304,1.5954636,77.90153,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_140.png
465.88553,-2.326161,45.53367,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_141.png
478.58057,0.706672,96.13774,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_185.png
269.51233,286.54742,-114.48503,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_1851.png
253.25114,235.9713,-136.24744,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_1858.png
280.8548,215.69698,-240.82568,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_1893.png
290.85147,210.69421,-188.67227,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_1899.png
291.8064,314.92535,-166.762,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_1922.png
243.07306,289.55048,-170.00917,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_1941.png
302.75916,259.1429,-161.32767,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_1951.png
286.70282,271.77277,-212.14236,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_1960.png
241.8806,240.70813,-195.46788,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_1976.png
444.36597,-51.902332,65.62037,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_348.png
352.79245,-231.57306,-28.79553,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_39.png
433.2423,-57.0176,-53.73484,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_437.png
318.29184,-242.84172,30.5088,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_481.png
370.056,-185.1978,-43.9151,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_60.png
262.06982,-261.8997,-28.520493,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_692.png
276.41232,-242.34079,-72.60015,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_702.png
23.727457,-5.9039726,-328.77795,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_717.png
-92.59326,-146.12172,-308.64722,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_778.png
-22.267502,37.519222,-298.46082,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_828.png
-22.610344,37.538654,-347.5206,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_833.png
28.336344,99.48412,-370.02173,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_855.png
53.43799,57.068672,-371.06854,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_867.png
34.522633,67.188866,-320.03223,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_872.png
366.2892,-138.68518,-14.466095,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_89.png
369.58762,-202.45476,19.030043,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_959.png
366.63934,-111.10964,29.345812,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_97.png
324.01685,-190.62682,10.449501,cow_10,cow_10,./dataset/test-41-different/all\cow_10\cow_10_971.png
287.20163,374.9331,141.36136,cow_11,cow_8,./dataset/test-41-different/all\cow_11\cow_11_100.png
160.41577,224.9829,109.13657,cow_11,cow_24,./dataset/test-41-different/all\cow_11\cow_11_1022.png
177.39313,219.77472,70.479385,cow_11,cow_5,./dataset/test-41-different/all\cow_11\cow_11_1047.png
306.7368,330.33575,154.8667,cow_11,cow_8,./dataset/test-41-different/all\cow_11\cow_11_105.png
-7.877523,63.17886,369.56598,cow_11,cow_11,./dataset/test-41-different/all\cow_11\cow_11_1145.png
-10.816793,100.05398,336.81665,cow_11,cow_11,./dataset/test-41-different/all\cow_11\cow_11_1149.png
-27.53948,42.651016,324.41394,cow_11,cow_11,./dataset/test-41-different/all\cow_11\cow_11_1160.png
262.4501,330.2705,100.41821,cow_11,cow_8,./dataset/test-41-different/all\cow_11\cow_11_137.png
289.42685,228.85907,34.42252,cow_11,cow_11,./dataset/test-41-different/all\cow_11\cow_11_169.png
329.66522,267.36877,11.643868,cow_11,cow_11,./dataset/test-41-different/all\cow_11\cow_11_173.png
329.02438,237.94907,73.17327,cow_11,cow_10,./dataset/test-41-different/all\cow_11\cow_11_179.png
-106.42098,-77.30014,186.83131,cow_11,cow_8,./dataset/test-41-different/all\cow_11\cow_11_1819.png
5.299415,7.238359,306.82004,cow_11,cow_11,./dataset/test-41-different/all\cow_11\cow_11_1853.png
368.48584,228.95302,29.752167,cow_11,cow_10,./dataset/test-41-different/all\cow_11\cow_11_187.png
-106.57465,-35.01662,255.44104,cow_11,cow_11,./dataset/test-41-different/all\cow_11\cow_11_1946.png
-141.05228,-9.7287,270.3401,cow_11,cow_6,./dataset/test-41-different/all\cow_11\cow_11_1957.png
285.79303,244.6194,-21.068193,cow_11,cow_8,./dataset/test-41-different/all\cow_11\cow_11_196.png
-58.607464,-3.6220095,315.78592,cow_11,cow_11,./dataset/test-41-different/all\cow_11\cow_11_1981.png
328.55948,185.44055,39.58903,cow_11,cow_8,./dataset/test-41-different/all\cow_11\cow_11_200.png
335.9116,212.0366,-16.206497,cow_11,cow_8,./dataset/test-41-different/all\cow_11\cow_11_203.png
284.7148,183.9992,-1.5546514,cow_11,cow_10,./dataset/test-41-different/all\cow_11\cow_11_215.png
260.5107,269.85858,72.29823,cow_11,cow_11,./dataset/test-41-different/all\cow_11\cow_11_267.png
309.63892,300.59363,65.55684,cow_11,cow_11,./dataset/test-41-different/all\cow_11\cow_11_270.png
268.6613,300.0392,27.109556,cow_11,cow_11,./dataset/test-41-different/all\cow_11\cow_11_273.png
226.18459,221.37567,12.629636,cow_11,cow_11,./dataset/test-41-different/all\cow_11\cow_11_386.png
235.64946,256.16458,164.38829,cow_11,cow_10,./dataset/test-41-different/all\cow_11\cow_11_439.png
333.97516,225.1364,164.78462,cow_11,cow_8,./dataset/test-41-different/all\cow_11\cow_11_479.png
305.82642,218.94574,196.08792,cow_11,cow_8,./dataset/test-41-different/all\cow_11\cow_11_481.png
